modelo,escopo,status,metodo,threshold,f1_at_threshold,n_train,n_test,n_train_weeks,n_test_weeks,n,n_alerta_emitido,n_confirmado,auc,precision,recall,brier,confirmacao,pos_rate,precision_at_20,precision_at_50,rotulo,rotulo_nota
risco,global,ok,sklearn_gb_temporal_80_20_calibrado,0.25,0.4408602150537635,20092.0,389.0,83,21,389,139,41,0.8292273236282195,0.2949640287769784,0.8723404255319149,0.1057286337987105,0.2949640287769784,0.1208226221079691,0.4,0.38,,
risco,global,ok,sklearn_gb_temporal_80_20_fixo,0.5,,20092.0,389.0,83,21,389,41,16,0.8292273236282195,0.3902439024390244,0.3404255319148936,0.1057286337987105,0.3902439024390244,0.1208226221079691,0.4,0.38,,
risco,global,ok,sklearn_gb_temporal_80_20_default,0.5,,20092.0,389.0,83,21,389,41,16,0.8292273236282195,0.3902439024390244,0.3404255319148936,0.1057286337987105,0.3902439024390244,0.1208226221079691,0.4,0.38,,
risco,familia:arbovirose,ok,sklearn_gb_temporal_80_20_calibrado,0.6,,,,83,21,37,4,2,0.71875,0.5,0.4,0.1551851638842812,0.5,0.1351351351351351,0.2,0.1351351351351351,,
risco,familia:hepatite,ok,sklearn_gb_temporal_80_20_calibrado,0.25,,,,83,21,68,36,10,0.7508620689655172,0.2777777777777778,1.0,0.1532166664950767,0.2777777777777778,0.1470588235294117,0.25,0.2,,
risco,familia:outros,ok,sklearn_gb_temporal_80_20_calibrado,0.3999999999999999,,,,83,21,100,17,10,0.8394308943089431,0.5882352941176471,0.5555555555555556,0.119926366471491,0.5882352941176471,0.18,0.55,0.32,,
risco,familia:tuberculose,ok,sklearn_gb_temporal_80_20_calibrado,0.3999999999999999,,,,83,21,103,14,8,0.8443017656500802,0.5714285714285714,0.5714285714285714,0.0995346144087837,0.5714285714285714,0.1359223300970873,0.5,0.24,,
silencio,global,ok,sklearn_gb_temporal_80_20_calibrado,0.1,0.6886075949367089,20092.0,389.0,83,21,389,200,136,0.7602564102564103,0.68,0.6974358974358974,0.3206066101135353,0.68,0.5012853470437018,0.95,0.96,,
silencio,global,ok,sklearn_gb_temporal_80_20_fixo,0.5,,20092.0,389.0,83,21,389,16,15,0.7602564102564103,0.9375,0.0769230769230769,0.3206066101135353,0.9375,0.5012853470437018,0.95,0.96,,
silencio,global,ok,sklearn_gb_temporal_80_20_default,0.5,,20092.0,389.0,83,21,389,16,15,0.7602564102564103,0.9375,0.0769230769230769,0.3206066101135353,0.9375,0.5012853470437018,0.95,0.96,,
pressao,global,ok,sklearn_gb_temporal_80_20_calibrado,0.5499999999999999,0.7007299270072993,5509.0,199.0,83,21,199,75,48,0.8075111843654345,0.64,0.7741935483870968,,0.64,0.31155778894472363,0.7,0.68,y_pressao_alta_proxima_se,"y_pressao_alta = próxima SE com indice_pressao_proxy≥55 OU tests_pct_estadual≥0,75 OU (tests≥1,5·MA8 e tests≥5). Proxy = 100×(0,40·volume_norm + 0,25·backlog_norm + 0,20·tat_p90_norm + 0,15·rejeicao_norm); volume varia por semana; TAT/backlog/rejeição vêm da rede GAL (estrutural)."
